eid,pid,target_prefix,status,error,group_label,epsilon_from_summary,n_total_units,n_trials,n_missing_baseline_units,frac_responsive_uncorrected,frac_responsive_bonferroni,mean_stim_rate,mean_baseline_rate,population_paired_t,population_paired_p
5d01d14e-aced-4465-8f8e-9a1c674f62ec,c84144db-4498-4627-b72a-975a6b618715,VISp,ok,,learning,0.10377644455193048,175,555,0,0.5542857142857143,0.2914285714285714,8.713616473616474,7.198043758043758,8.989545427021222,3.907443395213552e-18
6274dda8-3a59-4aa1-95f8-a8a549c46a26,1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,VISp,ok,,learning,0.11354383995227782,300,780,0,0.38,0.15333333333333332,3.739017094017094,3.0737606837606837,9.780227591917285,2.192867773813124e-21
dda5fc59-f09a-4256-9fb5-66c67667a466,8169d556-f994-4735-b4c8-f7c85ddc39b0,VISp,ok,,learning,0.11823018189968866,208,751,0,0.3701923076923077,0.11057692307692307,4.874398238246441,4.358099457134077,9.686068368388979,5.508714832356531e-21
e0928e11-2b86-4387-a203-80c77fab5d52,799d899d-c398-4e81-abaf-1ef4b02d5475,VISp,ok,,learning,0.11920979408176462,166,474,0,0.5903614457831325,0.3313253012048193,4.159422500127091,2.8711046718519646,9.31843005396999,4.496981198659601e-19
90c61c38-b9fd-4cc3-9795-29160d2f8e55,43436b4b-0431-407f-b83d-d657ec22b5c6,VISp,ok,,collapsed,0.24146614440790737,231,804,0,0.2943722943722944,0.11688311688311688,3.9052034201287933,3.1886024423337855,11.610410426247988,6.430283281700873e-29
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,ok,,collapsed,0.241633564630407,120,443,0,0.041666666666666664,0.0,3.158765989465764,3.136004514672686,0.168065603874851,0.8666085416567721
7dd27c2f-9544-448d-918d-be0f9837b0e0,d3507787-60c8-4cea-a61e-0c708b4361d8,VISp,ok,,collapsed,0.24204052552201746,95,525,0,0.05263157894736842,0.0,7.066265664160401,7.0095238095238095,1.0423671650736392,0.29772215069897684
239dd3c9-35f3-4462-95ee-91b822a22e6b,1f5d62cb-814f-4ab2-b6af-7557ea04d56a,VISp,ok,,collapsed,0.24223917366176875,236,414,0,0.038135593220338986,0.0,1.9302178007041677,1.8416850896585606,2.1027225970087273,0.03609467413298559
