eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.0,0.12,0.12,0.03,0,0.06,688,57,96.0,64.0,0.8431448369685772,0.7959837233504715,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.03,0.15,0.12,0.03,1,0.09,688,57,96.0,64.0,0.8582766308300115,0.7692241451039685,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.06,0.18,0.12,0.03,2,0.12,688,57,96.0,64.0,0.8941558067349294,0.8041099458128305,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.09,0.21,0.12,0.03,3,0.15,688,57,96.0,64.0,0.8854426076907379,0.8168650695345443,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.12,0.24,0.12,0.03,4,0.18,688,57,96.0,64.0,0.9080530512743478,0.8352455814743605,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.15,0.27,0.12,0.03,5,0.21000000000000002,688,57,96.0,64.0,0.9104993451100911,0.8635041730720928,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.18,0.3,0.12,0.03,6,0.24,688,57,96.0,64.0,0.9107524465038275,0.8828414729978046,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.21,0.32999999999999996,0.12,0.03,7,0.26999999999999996,688,57,96.0,64.0,0.892491934742273,0.8464642668342114,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.24,0.36,0.12,0.03,8,0.3,688,57,96.0,64.0,0.8582743283249041,0.8156753787184707,0.05263157894736842,0.017543859649122806,3.0,57.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.27,0.39,0.12,0.03,9,0.33,688,57,96.0,64.0,0.7961746021261555,0.7818207411327083,0.05263157894736842,0.017543859649122806,3.0,57.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.0,0.12,0.12,0.03,0,0.06,692,146,86.0,70.0,0.47767441974236874,0.2920621642401812,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.03,0.15,0.12,0.03,1,0.09,692,146,86.0,70.0,0.322147894391721,0.13215979837466846,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.06,0.18,0.12,0.03,2,0.12,692,146,86.0,70.0,0.3452419826661102,0.00944500569839746,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.09,0.21,0.12,0.03,3,0.15,692,146,86.0,70.0,0.3621274493353259,0.10196741631427937,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.12,0.24,0.12,0.03,4,0.18,692,146,86.0,70.0,0.45283750564778436,0.3279332686235644,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.15,0.27,0.12,0.03,5,0.21000000000000002,692,146,86.0,70.0,0.4489395026910227,0.30249695182687664,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.18,0.3,0.12,0.03,6,0.24,692,146,86.0,70.0,0.4179918573415489,0.2647324878708785,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.21,0.32999999999999996,0.12,0.03,7,0.26999999999999996,692,146,86.0,70.0,0.31342378453957287,0.2447413881772157,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.24,0.36,0.12,0.03,8,0.3,692,146,86.0,70.0,0.30786329812585206,0.25998067852003776,0.02054794520547945,0.00684931506849315,3.0,146.0
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.27,0.39,0.12,0.03,9,0.33,692,146,86.0,70.0,0.41084289105521443,0.35610991590217494,0.02054794520547945,0.00684931506849315,3.0,146.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.0,0.12,0.12,0.03,0,0.06,655,124,92.0,62.0,0.5379173021520868,0.4756424386601217,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.03,0.15,0.12,0.03,1,0.09,655,124,92.0,62.0,0.3977646389402439,0.14408374992656517,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.06,0.18,0.12,0.03,2,0.12,655,124,92.0,62.0,0.43262447422621164,0.1349611086079433,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.09,0.21,0.12,0.03,3,0.15,655,124,92.0,62.0,0.34377075544708796,0.0024739352137538714,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.12,0.24,0.12,0.03,4,0.18,655,124,92.0,62.0,0.557194083706906,0.016170662332238298,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.15,0.27,0.12,0.03,5,0.21000000000000002,655,124,92.0,62.0,0.7570455258555998,0.1213163559529443,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.18,0.3,0.12,0.03,6,0.24,655,124,92.0,62.0,0.8494372682001431,0.2034587921247095,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.21,0.32999999999999996,0.12,0.03,7,0.26999999999999996,655,124,92.0,62.0,0.8357045673568239,0.19677626954549665,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.24,0.36,0.12,0.03,8,0.3,655,124,92.0,62.0,0.662487927231857,0.08423715153578389,0.024193548387096774,0.008064516129032258,3.0,124.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.27,0.39,0.12,0.03,9,0.33,655,124,92.0,62.0,0.27798846100598545,0.20171853009294516,0.024193548387096774,0.008064516129032258,3.0,124.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.0,0.12,0.12,0.03,0,0.06,443,120,48.0,54.0,0.06041780901810127,0.043898659732957146,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.03,0.15,0.12,0.03,1,0.09,443,120,48.0,54.0,0.016417108358586667,7.95202055046621e-05,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.06,0.18,0.12,0.03,2,0.12,443,120,48.0,54.0,0.08502127851987182,0.001464528321934154,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.09,0.21,0.12,0.03,3,0.15,443,120,48.0,54.0,0.3978781324811334,0.1570848361601222,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.12,0.24,0.12,0.03,4,0.18,443,120,48.0,54.0,0.7841755544717155,0.7573075258924856,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.15,0.27,0.12,0.03,5,0.21000000000000002,443,120,48.0,54.0,0.89237246764944,0.8671753269326816,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.18,0.3,0.12,0.03,6,0.24,443,120,48.0,54.0,0.9140389545652411,0.9078430211145362,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.21,0.32999999999999996,0.12,0.03,7,0.26999999999999996,443,120,48.0,54.0,0.9021692755607493,0.8967778408308856,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.24,0.36,0.12,0.03,8,0.3,443,120,48.0,54.0,0.9081140127323574,0.9064935786688251,0.025,0.008333333333333333,3.0,120.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.27,0.39,0.12,0.03,9,0.33,443,120,48.0,54.0,0.8911228712826571,0.8752910030493295,0.025,0.008333333333333333,3.0,120.0
