eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.0,0.12,0.12,0.03,0,0.06,653,13,61.0,76.0,0.8898573537032972,0.8306344354804692,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.03,0.15,0.12,0.03,1,0.09,653,13,61.0,76.0,0.9516525659492329,0.7850054770913126,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.06,0.18,0.12,0.03,2,0.12,653,13,61.0,76.0,0.4817052024645051,0.279534519644558,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.09,0.21,0.12,0.03,3,0.15,653,13,61.0,76.0,0.10213154512690223,0.06527951929140789,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.12,0.24,0.12,0.03,4,0.18,653,13,61.0,76.0,0.5697718080701704,0.16365583664271763,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.15,0.27,0.12,0.03,5,0.21000000000000002,653,13,61.0,76.0,0.569341135908459,0.08402761267983637,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.18,0.3,0.12,0.03,6,0.24,653,13,61.0,76.0,0.664627095193168,0.10073976760101412,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.21,0.32999999999999996,0.12,0.03,7,0.26999999999999996,653,13,61.0,76.0,0.510938696914258,0.02216576127254176,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.24,0.36,0.12,0.03,8,0.3,653,13,61.0,76.0,0.44254717635416835,0.001522449076181482,0.23076923076923078,0.07692307692307693,3.0,13.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.27,0.39,0.12,0.03,9,0.33,653,13,61.0,76.0,0.6080196363021015,0.004696689401546101,0.23076923076923078,0.07692307692307693,3.0,13.0
