eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,error
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.04,0.09,0.05,0.01,0.0,0.065,653.0,13.0,120.0,164.0,0.7095319682268496,0.4945904614046458,0.23076923076923078,0.07692307692307693,3.0,13.0,0.05678864227154569,,
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,653.0,13.0,120.0,164.0,0.7054126706545661,0.2842227688301316,0.23076923076923078,0.07692307692307693,3.0,13.0,0.21595680863827235,,
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,653.0,13.0,120.0,164.0,0.8363783806864025,0.5850372922663282,0.23076923076923078,0.07692307692307693,3.0,13.0,0.03139372125574885,,
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,653.0,13.0,120.0,164.0,0.8585889500850596,0.6141829471776551,0.23076923076923078,0.07692307692307693,3.0,13.0,0.02579484103179364,,
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,653.0,13.0,120.0,164.0,0.8687021838352365,0.677956481180399,0.23076923076923078,0.07692307692307693,3.0,13.0,0.010997800439912017,,
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,653.0,13.0,120.0,164.0,0.8050463077064751,0.6372912605461475,0.23076923076923078,0.07692307692307693,3.0,13.0,0.008398320335932814,,
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.04,0.09,0.05,0.01,0.0,0.065,688.0,57.0,186.0,128.0,0.5904191090478079,0.4302778074845045,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0023995200959808036,,
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,688.0,57.0,186.0,128.0,0.5752160624295761,0.3598196332053876,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0027994401119776045,,
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,688.0,57.0,186.0,128.0,0.6171991487272643,0.4587082667320565,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0001999600079984003,,
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,688.0,57.0,186.0,128.0,0.5694436415207014,0.5240927880934899,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0001999600079984003,,
