eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.0,0.03,0.03,0.01,0,0.015,653,13,120.0,164.0,0.5948507857460403,0.4763079182521551,0.23076923076923078,0.07692307692307693,3.0,13.0,0.039192161567686463
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.01,0.04,0.03,0.01,1,0.025,653,13,120.0,164.0,0.4422848542350559,0.26001042165185445,0.23076923076923078,0.07692307692307693,3.0,13.0,0.14297140571885622
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.02,0.05,0.03,0.01,2,0.035,653,13,120.0,164.0,0.5559525399208498,0.5382695777249592,0.23076923076923078,0.07692307692307693,3.0,13.0,0.02419516096780644
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.03,0.06,0.03,0.01,3,0.045,653,13,120.0,164.0,0.4660444781868867,0.41673290166098076,0.23076923076923078,0.07692307692307693,3.0,13.0,0.09198160367926415
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.04,0.07,0.03,0.01,4,0.05500000000000001,653,13,120.0,164.0,0.6174666969845228,0.21638773646638423,0.23076923076923078,0.07692307692307693,3.0,13.0,0.259748050389922
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.05,0.08,0.03,0.01,5,0.065,653,13,120.0,164.0,0.463844190785415,0.014519106233235504,0.23076923076923078,0.07692307692307693,3.0,13.0,0.7232553489302139
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.06,0.09,0.03,0.01,6,0.075,653,13,120.0,164.0,0.8553907829404149,0.5531465216367497,0.23076923076923078,0.07692307692307693,3.0,13.0,0.03839232153569286
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.07,0.1,0.03,0.01,7,0.085,653,13,120.0,164.0,0.8907113258561472,0.37891754788765575,0.23076923076923078,0.07692307692307693,3.0,13.0,0.08278344331133773
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.0,0.03,0.03,0.01,0,0.015,688,57,186.0,128.0,0.43358983502166076,0.4173367311119968,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0005998800239952009
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.01,0.04,0.03,0.01,1,0.025,688,57,186.0,128.0,0.4381185713147379,0.3975248272912693,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0001999600079984003
