eid,axis_key,axis_label,cond_a,cond_b,signed_a,signed_b,span,midpoint,category,cosine_global,sort_key,category_order
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.0625)))","(0,0) vs (0,0.0625)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0625))",0.0,-0.0625,0.0625,-0.03125,neither_high,0.030474552623807705,"(-0.03125, 0.0625, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.0625)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.0625), np.float64(0.0)))","(0,0.125) vs (0.0625,0)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.0625), np.float64(0.0))",-0.125,0.0625,0.1875,-0.03125,neither_high,0.30919073542907344,"(-0.03125, 0.1875, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.0625), np.float64(0.0)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0625), np.float64(0.0)))","(0,0.0625) vs (0.0625,0)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.0625), np.float64(0.0))",-0.0625,0.0625,0.125,0.0,neither_high,0.02281972532679406,"(0.0, 0.125, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0625), np.float64(0.0)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.125), np.float64(0.0)))","(0,0.125) vs (0.125,0)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.125), np.float64(0.0))",-0.125,0.125,0.25,0.0,neither_high,0.4172224851793583,"(0.0, 0.25, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.125), np.float64(0.0)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0625), np.float64(0.0)))","(0,0) vs (0.0625,0)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0625), np.float64(0.0))",0.0,0.0625,0.0625,0.03125,neither_high,0.0313836025339616,"(0.03125, 0.0625, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0625), np.float64(0.0)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.125), np.float64(0.0)))","(0,0.0625) vs (0.125,0)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.125), np.float64(0.0))",-0.0625,0.125,0.1875,0.03125,neither_high,0.3543801545016873,"(0.03125, 0.1875, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.125), np.float64(0.0)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))","(0,0) vs (0.125,0)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.125), np.float64(0.0))",0.0,0.125,0.125,0.0625,neither_high,0.16635832626825897,"(0.0625, 0.125, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))')",2
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,"((np.float64(0.0625), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))","(0.0625,0) vs (0.125,0)","(np.float64(0.0625), np.float64(0.0))","(np.float64(0.125), np.float64(0.0))",0.0625,0.125,0.0625,0.09375,neither_high,0.2634448656505269,"(0.09375, 0.0625, '((np.float64(0.0625), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.25)), (np.float64(0.0), np.float64(1.0)))","(0,0.25) vs (0,1)","(np.float64(0.0), np.float64(0.25))","(np.float64(0.0), np.float64(1.0))",-0.25,-1.0,0.75,-0.625,both_high,0.8486683275716205,"(-0.625, 0.75, '((np.float64(0.0), np.float64(0.25)), (np.float64(0.0), np.float64(1.0)))')",0
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(1.0)), (np.float64(0.25), np.float64(0.0)))","(0,1) vs (0.25,0)","(np.float64(0.0), np.float64(1.0))","(np.float64(0.25), np.float64(0.0))",-1.0,0.25,1.25,-0.375,both_high,0.9566085024655129,"(-0.375, 1.25, '((np.float64(0.0), np.float64(1.0)), (np.float64(0.25), np.float64(0.0)))')",0
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.25)), (np.float64(0.25), np.float64(0.0)))","(0,0.25) vs (0.25,0)","(np.float64(0.0), np.float64(0.25))","(np.float64(0.25), np.float64(0.0))",-0.25,0.25,0.5,0.0,both_high,0.7456571050357232,"(0.0, 0.5, '((np.float64(0.0), np.float64(0.25)), (np.float64(0.25), np.float64(0.0)))')",0
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(1.0)), (np.float64(1.0), np.float64(0.0)))","(0,1) vs (1,0)","(np.float64(0.0), np.float64(1.0))","(np.float64(1.0), np.float64(0.0))",-1.0,1.0,2.0,0.0,both_high,0.9999999999990001,"(0.0, 2.0, '((np.float64(0.0), np.float64(1.0)), (np.float64(1.0), np.float64(0.0)))')",0
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.25)), (np.float64(1.0), np.float64(0.0)))","(0,0.25) vs (1,0)","(np.float64(0.0), np.float64(0.25))","(np.float64(1.0), np.float64(0.0))",-0.25,1.0,1.25,0.375,both_high,0.818023976806815,"(0.375, 1.25, '((np.float64(0.0), np.float64(0.25)), (np.float64(1.0), np.float64(0.0)))')",0
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.25), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))","(0.25,0) vs (1,0)","(np.float64(0.25), np.float64(0.0))","(np.float64(1.0), np.float64(0.0))",0.25,1.0,0.75,0.625,both_high,0.10443717089475132,"(0.625, 0.75, '((np.float64(0.25), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))')",0
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.0), np.float64(1.0)))","(0,0.125) vs (0,1)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.0), np.float64(1.0))",-0.125,-1.0,0.875,-0.5625,one_high,0.9348086992832726,"(-0.5625, 0.875, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.0), np.float64(1.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0), np.float64(1.0)))","(0,0.0625) vs (0,1)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.0), np.float64(1.0))",-0.0625,-1.0,0.9375,-0.53125,one_high,0.8943009283293407,"(-0.53125, 0.9375, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0), np.float64(1.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(1.0)))","(0,0) vs (0,1)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(1.0))",0.0,-1.0,1.0,-0.5,one_high,0.8282932270532719,"(-0.5, 1.0, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(1.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(1.0)), (np.float64(0.0625), np.float64(0.0)))","(0,1) vs (0.0625,0)","(np.float64(0.0), np.float64(1.0))","(np.float64(0.0625), np.float64(0.0))",-1.0,0.0625,1.0625,-0.46875,one_high,0.8536851035705613,"(-0.46875, 1.0625, '((np.float64(0.0), np.float64(1.0)), (np.float64(0.0625), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(1.0)), (np.float64(0.125), np.float64(0.0)))","(0,1) vs (0.125,0)","(np.float64(0.0), np.float64(1.0))","(np.float64(0.125), np.float64(0.0))",-1.0,0.125,1.125,-0.4375,one_high,0.877643945550571,"(-0.4375, 1.125, '((np.float64(0.0), np.float64(1.0)), (np.float64(0.125), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.0), np.float64(0.25)))","(0,0.125) vs (0,0.25)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.0), np.float64(0.25))",-0.125,-0.25,0.125,-0.1875,one_high,0.708564193003864,"(-0.1875, 0.125, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.0), np.float64(0.25)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0), np.float64(0.25)))","(0,0.0625) vs (0,0.25)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.0), np.float64(0.25))",-0.0625,-0.25,0.1875,-0.15625,one_high,0.7340297559713327,"(-0.15625, 0.1875, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0), np.float64(0.25)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.25)))","(0,0) vs (0,0.25)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.25))",0.0,-0.25,0.25,-0.125,one_high,0.6127321285968182,"(-0.125, 0.25, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.25)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.25)), (np.float64(0.0625), np.float64(0.0)))","(0,0.25) vs (0.0625,0)","(np.float64(0.0), np.float64(0.25))","(np.float64(0.0625), np.float64(0.0))",-0.25,0.0625,0.3125,-0.09375,one_high,0.6892124380523734,"(-0.09375, 0.3125, '((np.float64(0.0), np.float64(0.25)), (np.float64(0.0625), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.25)), (np.float64(0.125), np.float64(0.0)))","(0,0.25) vs (0.125,0)","(np.float64(0.0), np.float64(0.25))","(np.float64(0.125), np.float64(0.0))",-0.25,0.125,0.375,-0.0625,one_high,0.6426273144009748,"(-0.0625, 0.375, '((np.float64(0.0), np.float64(0.25)), (np.float64(0.125), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.25), np.float64(0.0)))","(0,0.125) vs (0.25,0)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.25), np.float64(0.0))",-0.125,0.25,0.375,0.0625,one_high,0.04960833833787268,"(0.0625, 0.375, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.25), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.25), np.float64(0.0)))","(0,0.0625) vs (0.25,0)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.25), np.float64(0.0))",-0.0625,0.25,0.3125,0.09375,one_high,0.5263027406443681,"(0.09375, 0.3125, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.25), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.25), np.float64(0.0)))","(0,0) vs (0.25,0)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.25), np.float64(0.0))",0.0,0.25,0.25,0.125,one_high,0.3524311989679155,"(0.125, 0.25, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.25), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0625), np.float64(0.0)), (np.float64(0.25), np.float64(0.0)))","(0.0625,0) vs (0.25,0)","(np.float64(0.0625), np.float64(0.0))","(np.float64(0.25), np.float64(0.0))",0.0625,0.25,0.1875,0.15625,one_high,0.5575157468511347,"(0.15625, 0.1875, '((np.float64(0.0625), np.float64(0.0)), (np.float64(0.25), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.125), np.float64(0.0)), (np.float64(0.25), np.float64(0.0)))","(0.125,0) vs (0.25,0)","(np.float64(0.125), np.float64(0.0))","(np.float64(0.25), np.float64(0.0))",0.125,0.25,0.125,0.1875,one_high,0.29954592110016154,"(0.1875, 0.125, '((np.float64(0.125), np.float64(0.0)), (np.float64(0.25), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.125)), (np.float64(1.0), np.float64(0.0)))","(0,0.125) vs (1,0)","(np.float64(0.0), np.float64(0.125))","(np.float64(1.0), np.float64(0.0))",-0.125,1.0,1.125,0.4375,one_high,0.12828860580493598,"(0.4375, 1.125, '((np.float64(0.0), np.float64(0.125)), (np.float64(1.0), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(1.0), np.float64(0.0)))","(0,0.0625) vs (1,0)","(np.float64(0.0), np.float64(0.0625))","(np.float64(1.0), np.float64(0.0))",-0.0625,1.0,1.0625,0.46875,one_high,0.3964266047372333,"(0.46875, 1.0625, '((np.float64(0.0), np.float64(0.0625)), (np.float64(1.0), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))","(0,0) vs (1,0)","(np.float64(0.0), np.float64(0.0))","(np.float64(1.0), np.float64(0.0))",0.0,1.0,1.0,0.5,one_high,0.2398928202529302,"(0.5, 1.0, '((np.float64(0.0), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))')",1
