eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_index,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,n_active_units
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.04,0.09,0.05,0.01,0,0,0.065,653,12,120.0,164.0,0.7095319682268493,0.49459046140464547,0.25,0.08333333333333333,3.0,12.0,0.07878424315136973,ok,12
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,653,12,120.0,164.0,0.705412670654566,0.2842227688301318,0.25,0.08333333333333333,3.0,12.0,0.2663467306538692,ok,12
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,653,13,120.0,164.0,0.8363783806864025,0.5850372922663282,0.23076923076923078,0.07692307692307693,3.0,13.0,0.03139372125574885,ok,13
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,653,13,120.0,164.0,0.8585889500850596,0.6141829471776551,0.23076923076923078,0.07692307692307693,3.0,13.0,0.02579484103179364,ok,13
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,653,13,120.0,164.0,0.8687021838352365,0.677956481180399,0.23076923076923078,0.07692307692307693,3.0,13.0,0.010997800439912017,ok,13
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,653,13,120.0,164.0,0.8050463077064751,0.6372912605461475,0.23076923076923078,0.07692307692307693,3.0,13.0,0.008398320335932814,ok,13
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.04,0.09,0.05,0.01,0,0,0.065,688,57,186.0,128.0,0.5904191090478079,0.4302778074845045,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0023995200959808036,ok,57
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,688,57,186.0,128.0,0.5752160624295761,0.3598196332053876,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0027994401119776045,ok,57
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,688,57,186.0,128.0,0.6171991487272643,0.4587082667320565,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0001999600079984003,ok,57
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,688,56,186.0,128.0,0.5694436415207005,0.5240927880934897,0.05357142857142857,0.017857142857142856,3.0,56.0,0.0001999600079984003,ok,56
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,688,56,186.0,128.0,0.660679810486094,0.5883367025711881,0.05357142857142857,0.017857142857142856,3.0,56.0,0.0001999600079984003,ok,56
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,688,56,186.0,128.0,0.7134192588922753,0.6173713034246977,0.05357142857142857,0.017857142857142856,3.0,56.0,0.0001999600079984003,ok,56
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.04,0.09,0.05,0.01,0,0,0.065,692,145,171.0,152.0,0.5310295226217814,0.5045826388950675,0.020689655172413793,0.006896551724137931,3.0,145.0,0.0001999600079984003,ok,145
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,692,145,171.0,152.0,0.49467701115012463,0.49245767230853504,0.020689655172413793,0.006896551724137931,3.0,145.0,0.0001999600079984003,ok,145
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,692,145,171.0,152.0,0.641086868041662,0.5616899460222534,0.020689655172413793,0.006896551724137931,3.0,145.0,0.0001999600079984003,ok,145
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,692,145,171.0,152.0,0.7416302378653499,0.5697021737368871,0.020689655172413793,0.006896551724137931,3.0,145.0,0.0001999600079984003,ok,145
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,692,144,171.0,152.0,0.5588751555925214,0.41615142963397445,0.020833333333333332,0.006944444444444444,3.0,144.0,0.0001999600079984003,ok,144
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,692,144,171.0,152.0,0.46247385169113503,0.22608848195640857,0.020833333333333332,0.006944444444444444,3.0,144.0,0.004199160167966407,ok,144
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.04,0.09,0.05,0.01,0,0,0.065,655,112,176.0,124.0,0.18103580766442262,0.13546349274188377,0.026785714285714284,0.008928571428571428,3.0,112.0,0.006998600279944011,ok,112
