target_prefix,subset,k,theta_re,se_re,ci95_lo,ci95_hi,theta_fe,se_fe,tau2,I2,Q,df,n_sig_raw,n_sig_bonferroni,n_sig_fdr_bh
VISam,all,9,0.19758161674719632,0.012976770837883414,0.17214714590494484,0.2230160875894478,0.2291730201055562,0.0001641429980096069,0.001513433769178131,99.98243016104847,45532.57444233944,8,9,9,9
VISam,excluding_collapsed,4,0.14656292135877247,0.02194621655908076,0.10354833690297419,0.18957750581457075,0.11570852734857698,0.0005698197009984882,0.001921938364166034,99.83885361074807,1861.6613216880069,3,4,4,4
