eid,pid,target_prefix,bin_start,bin_end,bin_idx,time,k_pa,n_active_units,status,n_pos,n_neg,signal_norm,T_obs_raw,T_obs_corrected,mean_noise_scale,haar_status,haar_null_mean_corrected,haar_null_median_corrected,haar_null_p05_corrected,haar_null_p95_corrected,haar_p_lower_corrected,haar_p_upper_corrected,pairing_null_mean_corrected,pairing_null_median_corrected,pairing_null_p05_corrected,pairing_null_p95_corrected,pairing_p_lower_corrected,pairing_p_upper_corrected
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.0,0.03,0,0.015,4,57,ok,186,128,16.035156023155604,0.004536657260118598,-0.035029874997945874,0.013188844086021506,nonpositive_corrected_block_energy,,,,,,,-0.036182775376681964,-0.035791744723678236,-0.03781569742877189,-0.034585323772415584,0.8323353293413174,0.32335329341317365
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.01,0.04,1,0.025,4,57,ok,186,128,15.097406619253757,0.008294692025656107,-0.031271840232408366,0.013188844086021506,nonpositive_corrected_block_energy,,,,,,,-0.03151874721090125,-0.031271840232408366,-0.03223621516233148,-0.03089898942586946,0.6407185628742516,0.5149700598802395
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.02,0.05,2,0.035,4,57,ok,186,128,15.49449910829538,0.002054039534081668,-0.03751249272398281,0.013188844086021506,nonpositive_corrected_block_energy,,,,,,,-0.03962005706959158,-0.03853854561998822,-0.042061563976105214,-0.03751249272398281,1.0,0.15568862275449102
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.03,0.06,3,0.045,4,57,ok,186,128,17.109949221074896,0.01744183564830055,-0.02212469660976393,0.013188844086021506,nonpositive_corrected_block_energy,,,,,,,-0.02372057412890706,-0.02349785738436154,-0.025753767783430952,-0.022098791007013768,0.8323353293413174,0.32335329341317365
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.04,0.07,4,0.05500000000000001,4,57,ok,186,128,19.728740681313965,0.05556014568339443,0.01599361342532995,0.013188844086021506,ok,0.015511594103613685,0.0052379182923904186,-0.03139499700964277,0.10107497621247262,0.590818363273453,0.4111776447105788,0.015289199355480758,0.015538743171163128,0.014402280543942488,0.01599361342532995,1.0,0.15568862275449102
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.05,0.08,5,0.065,4,57,ok,186,128,18.35605534551743,0.07607728055490794,0.03651074829684346,0.013188844086021506,ok,0.03857272480023056,0.027560170895357,-0.025848494438349322,0.14380437626404252,0.5768463073852296,0.4251497005988024,0.038188274097898246,0.03651074829684346,0.008119654204679801,0.07110164358021696,0.6407185628742516,0.5149700598802395
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.06,0.09,6,0.075,4,57,ok,186,128,20.35214807402362,0.09683167800304425,0.05726514574497976,0.013188844086021506,ok,0.05673149625489056,0.04531877137835562,-0.020385470546555463,0.17441988208330353,0.5828343313373253,0.41916167664670656,0.05544250555729396,0.05726514574497976,0.04458376052396215,0.06641521126840554,0.6407185628742516,0.5149700598802395
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.07,0.1,7,0.085,4,56,ok,186,128,21.895781601864936,0.09020431150939946,0.050637779251334974,0.013188844086021506,ok,0.043905880864974475,0.032368718459786255,-0.0233693206178451,0.15114499924539448,0.6307385229540918,0.3712574850299401,0.04313139037801787,0.047383419827668236,0.02970326301196452,0.05281225221608535,0.8323353293413174,0.32335329341317365
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.0,0.03,0,0.015,7,139,ok,171,152,13.916796795881323,0.029293295583570148,-0.04526810792520163,0.012426900584795321,nonpositive_corrected_block_energy,,,,,,,-0.051911971910627595,-0.05166532830807259,-0.060071734662141676,-0.044600998580937024,0.9121756487025948,0.09181636726546906
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.01,0.04,1,0.025,7,138,ok,171,152,14.519963945797114,0.14695253141860323,0.07239112790983146,0.012426900584795321,ok,0.05737822963766351,0.04686882678456489,-0.03633015156805199,0.18414904136618768,0.6427145708582834,0.3592814371257485,0.055805437977569886,0.055138163037497176,0.03222429680154268,0.08103109238676136,0.8223552894211577,0.18163672654690619
