eid,target_prefix,bin_start,bin_end,bin_idx,time,n_trials,n_units,n_active_units,status,J_obs,expected_null_J,compensated_logratio
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.01,0.04,1,0.025,443,111,111,ok,1.6654463192448448,4.1391547429402396,-0.9103984515027373
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.02,0.05,2,0.035,443,110,110,ok,1.7768486847118987,4.199040973618263,-0.8600147661578985
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.03,0.06,3,0.045,443,111,111,ok,1.4067312563063767,3.5981990291326182,-0.9391646954689041
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.04,0.07,4,0.05500000000000001,443,108,108,ok,1.516242332451499,3.9608142046832615,-0.9602144870277747
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.05,0.08,5,0.065,443,109,109,ok,1.935985371785619,3.86327704204154,-0.6908993649938029
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.06,0.09,6,0.075,443,109,109,ok,1.7173118214458003,3.503536158668613,-0.7130126157791794
872ce8ff-9fb3-485c-be00-bc5479e0095b,VISp,0.07,0.1,7,0.085,443,110,110,ok,1.8485850156288024,3.5791461699938196,-0.6607037819437674
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.0,0.03,0,0.015,433,393,393,ok,10.225990561449528,14.284277325394273,-0.33422687098911386
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.01,0.04,1,0.025,433,389,389,ok,7.593246329181631,11.125567166457389,-0.38198659668766194
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.02,0.05,2,0.035,433,383,383,ok,7.440012445182072,11.737035798198827,-0.45587677355992856
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.03,0.06,3,0.045,433,381,381,ok,9.917194728411358,15.80650730352366,-0.4661516180678325
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.04,0.07,4,0.05500000000000001,433,378,378,ok,11.043970420853045,24.613130053588204,-0.8013954268003296
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.05,0.08,5,0.065,433,380,380,ok,13.547973100644828,32.52282027974807,-0.8757050559205282
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.06,0.09,6,0.075,433,381,381,ok,17.41553498114636,36.498416431212775,-0.7399062512944017
b22f694e-4a34-4142-ab9d-2556c3487086,VISp,0.07,0.1,7,0.085,433,383,383,ok,20.649876806095275,39.67394706056193,-0.6529853733613108
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.0,0.03,0,0.015,972,264,264,ok,2.9543471642308803,10.373319563299617,-1.2559593825556234
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.01,0.04,1,0.025,972,265,265,ok,3.6227816780752637,12.708548550722917,-1.2550327311424327
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.02,0.05,2,0.035,972,265,265,ok,3.265006878405956,13.590954949347955,-1.4261426247906897
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.03,0.06,3,0.045,972,266,266,ok,3.1042923473537054,13.44936121176945,-1.4661458294151857
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.04,0.07,4,0.05500000000000001,972,266,266,ok,2.8772050185653564,13.572165773881487,-1.551201717987921
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.05,0.08,5,0.065,972,265,265,ok,3.0253125125460008,13.647267327025574,-1.5065249096875444
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.06,0.09,6,0.075,972,265,265,ok,2.939754764779645,14.21795730847897,-1.5761796003325552
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,VISp,0.07,0.1,7,0.085,972,264,264,ok,2.5970899081737775,10.252416417508321,-1.3731218737554458
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.0,0.03,0,0.015,1111,39,39,ok,0.250161152393659,1.070183028375152,-1.4534796476186356
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.01,0.04,1,0.025,1111,38,38,ok,0.1754186929197029,0.5411676753789249,-1.1265535194836855
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.02,0.05,2,0.035,1111,38,38,ok,0.12491177837994805,0.46921825914699944,-1.323460316343294
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.03,0.06,3,0.045,1111,38,38,ok,0.23744469208914604,0.7758605946136975,-1.184038136987669
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.04,0.07,4,0.05500000000000001,1111,38,38,ok,0.38832060792544726,1.6496746170926602,-1.4465020381817055
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.05,0.08,5,0.065,1111,39,39,ok,0.2846518820795079,1.4117614161195817,-1.601326467739656
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.06,0.09,6,0.075,1111,38,38,ok,0.21707845448458618,0.8831935589871679,-1.4032855530790584
dc21e80d-97d7-44ca-a729-a8e3f9b14305,VISp,0.07,0.1,7,0.085,1111,37,37,ok,0.2517728488557613,1.050079257725592,-1.4280936362684606
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.0,0.03,0,0.015,912,32,32,ok,0.3203645321742314,0.3465849492173806,-0.07866844178441154
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.01,0.04,1,0.025,912,32,32,ok,0.3666346017275065,0.3955430064967245,-0.07589380439755407
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.02,0.05,2,0.035,912,32,32,ok,0.31421197775162957,0.3209640254878099,-0.021261200198673946
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.03,0.06,3,0.045,912,32,32,ok,0.2070883549754623,0.2169063287260643,-0.046320057662311336
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.04,0.07,4,0.05500000000000001,912,32,32,ok,0.20788579071215912,0.22893440793988853,-0.09644668853039069
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.05,0.08,5,0.065,912,32,32,ok,0.26591115207020743,0.28706631126124477,-0.07655100054981678
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.06,0.09,6,0.075,912,32,32,ok,0.32403703364902164,0.33615435685971295,-0.036712639242956056
09394481-8dd2-4d5c-9327-f2753ede92d7,VISp,0.07,0.1,7,0.085,912,32,32,ok,0.3292734159555285,0.3628849696507568,-0.09719743886098388
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.0,0.03,0,0.015,728,136,136,ok,1.6517552101199322,2.758599148950388,-0.5128845099255824
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.01,0.04,1,0.025,728,136,136,ok,1.5517494257768865,2.6407286915166543,-0.5316719423229025
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.02,0.05,2,0.035,728,134,134,ok,1.7129581181380402,3.4421067742675304,-0.6978619486841225
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.03,0.06,3,0.045,728,132,132,ok,1.6295230982780207,3.5461674573751916,-0.7775800365731613
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.04,0.07,4,0.05500000000000001,728,139,139,ok,2.4175598659784976,6.50342268493803,-0.9895698935988614
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.05,0.08,5,0.065,728,139,139,ok,2.9290564782810606,9.327731385616236,-1.1583114825212049
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.06,0.09,6,0.075,728,139,139,ok,3.7532766352268885,12.548654103023678,-1.2069841891780158
58b1e920-cfc8-467e-b28b-7654a55d0977,VISp,0.07,0.1,7,0.085,728,140,140,ok,4.437063483420011,15.514692685130466,-1.25179471007766
