eid,pid,target_prefix,status,error,n_trials,n_left,n_right,n_zero,left_fraction,n_total_units,epsilon,se_intercept,p_value,slope,epsilon_status
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,ok,,653,328,254,71,0.563573883161512,13,,,,,failed
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,ok,,688,249,356,83,0.4115702479338843,58,0.24042687365994428,0.00020013005101946494,0.0,-0.003675664948694009,ok
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,ok,,692,295,313,84,0.48519736842105265,146,0.23740972956172443,0.00020077129772644807,0.0,0.061386733913554814,ok
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,ok,,655,242,333,80,0.42086956521739133,134,0.24094495706741814,0.00016525178319720836,0.0,-0.020489278348998958,ok
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,ok,,443,215,181,47,0.5429292929292929,120,0.241633564630407,0.00012267689960288486,0.0,-0.012472540508109085,ok
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,ok,,433,160,227,46,0.4134366925064599,429,0.20361929305266716,0.0025680343799515766,0.0,0.9730654798527646,ok
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,ok,,972,403,439,130,0.47862232779097386,267,0.23681164130833704,0.00013441389501393645,0.0,0.05778617179837511,ok
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,ok,,1111,481,488,142,0.49638802889576883,41,0.24127180106432955,9.161376668204481e-05,0.0,-0.007854097843629365,ok
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,ok,,912,452,358,102,0.5580246913580247,32,0.23933757564391947,0.0004688506822271142,0.0,0.01917636712837209,ok
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,ok,,728,340,305,83,0.5271317829457365,146,0.2337922691452513,0.00031936453047230106,0.0,0.143766858027589,ok
