eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_index,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,n_active_units
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.04,0.09,0.05,0.01,0,0,0.065,637,145,136.0,131.0,0.7970958606624138,0.5823400714200122,0.020689655172413793,0.006896551724137931,3.0,145.0,0.0001999600079984003,ok,145
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,637,145,136.0,131.0,0.8023309185723136,0.5291963087790793,0.020689655172413793,0.006896551724137931,3.0,145.0,0.0001999600079984003,ok,145
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,637,144,136.0,131.0,0.804009971262851,0.5166620847051412,0.020833333333333332,0.006944444444444444,3.0,144.0,0.0001999600079984003,ok,144
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,637,143,136.0,131.0,0.8588798294776293,0.5828193221876025,0.02097902097902098,0.006993006993006993,3.0,143.0,0.0001999600079984003,ok,143
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,637,143,136.0,131.0,0.8107905772639287,0.6064437015805259,0.02097902097902098,0.006993006993006993,3.0,143.0,0.0001999600079984003,ok,143
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,637,144,136.0,131.0,0.7591851953616786,0.6280638692046658,0.020833333333333332,0.006944444444444444,3.0,144.0,0.0001999600079984003,ok,144
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.04,0.09,0.05,0.01,0,0,0.065,443,186,98.0,105.0,0.9679498977447685,0.9390045956186568,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003,ok,186
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,443,185,98.0,105.0,0.9416719276483865,0.9012046182758492,0.016216216216216217,0.005405405405405406,3.0,185.0,0.0001999600079984003,ok,185
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,443,186,98.0,105.0,0.8760311045095143,0.7642863268691239,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003,ok,186
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,443,181,98.0,105.0,0.7684585054625027,0.6032125149393219,0.016574585635359115,0.0055248618784530384,3.0,181.0,0.0001999600079984003,ok,181
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,443,183,98.0,105.0,0.6450076006361726,0.5287259162413638,0.01639344262295082,0.00546448087431694,3.0,183.0,0.0001999600079984003,ok,183
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,443,182,98.0,105.0,0.6249481425116367,0.406591239717631,0.016483516483516484,0.005494505494505495,3.0,182.0,0.0001999600079984003,ok,182
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.04,0.09,0.05,0.01,0,0,0.065,433,50,108.0,85.0,0.24750803502796226,0.011423697492914001,0.06,0.02,3.0,50.0,0.3635272945410918,ok,50
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,433,52,108.0,85.0,0.1922535356923382,0.0003276804151774002,0.057692307692307696,0.019230769230769232,3.0,52.0,0.8750249950009998,ok,52
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,433,54,108.0,85.0,0.039556004326959465,0.007338721688821856,0.05555555555555555,0.018518518518518517,3.0,54.0,0.4233153369326135,ok,54
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,433,54,108.0,85.0,0.38715608906154775,0.14199786502414746,0.05555555555555555,0.018518518518518517,3.0,54.0,0.01999600079984003,ok,54
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,433,54,108.0,85.0,0.1550434392632235,0.07345319018076082,0.05555555555555555,0.018518518518518517,3.0,54.0,0.08138372325534893,ok,54
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,433,56,108.0,85.0,0.08773302444123779,0.02240210295973407,0.05357142857142857,0.017857142857142856,3.0,56.0,0.47030593881223753,ok,56
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.04,0.09,0.05,0.01,0,0,0.065,563,141,126.0,123.0,0.9726262925058485,0.9685424719429208,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003,ok,141
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,563,137,126.0,123.0,0.9711394901171533,0.9646110449072809,0.021897810218978103,0.0072992700729927005,3.0,137.0,0.0001999600079984003,ok,137
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,563,139,126.0,123.0,0.956294243506944,0.9532811810391737,0.02158273381294964,0.007194244604316547,3.0,139.0,0.0001999600079984003,ok,139
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,563,139,126.0,123.0,0.9549995200300367,0.9532876132274547,0.02158273381294964,0.007194244604316547,3.0,139.0,0.0001999600079984003,ok,139
