eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_active_units,status,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.0,0.03,0.03,0.01,0,0.015,637,151,141,ok,136.0,131.0,0.656593586768261,0.5734358704507277,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.01,0.04,0.03,0.01,1,0.025,637,151,133,ok,136.0,131.0,0.7101884526544147,0.543397640212522,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.02,0.05,0.03,0.01,2,0.035,637,151,134,ok,136.0,131.0,0.7726774126460182,0.5670360424756961,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.03,0.06,0.03,0.01,3,0.045,637,151,137,ok,136.0,131.0,0.7373340866054439,0.6364626835883952,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.04,0.07,0.03,0.01,4,0.05500000000000001,637,151,141,ok,136.0,131.0,0.7382715405648173,0.57938544976549,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.05,0.08,0.03,0.01,5,0.065,637,151,140,ok,136.0,131.0,0.7190696464610621,0.5166607094845445,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.06,0.09,0.03,0.01,6,0.075,637,151,136,ok,136.0,131.0,0.6544656201941044,0.4356940225025298,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
69c9a415-f7fa-4208-887b-1417c1479b48,72274871-80e5-4fb9-be1a-bb04acebb1de,VISl,0.07,0.1,0.03,0.01,7,0.085,637,151,135,ok,136.0,131.0,0.7333652287528358,0.460630824232231,0.019867549668874173,0.006622516556291391,3.0,151.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.0,0.03,0.03,0.01,0,0.015,443,186,175,ok,98.0,105.0,0.36924498465647604,0.3169451655402091,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.01,0.04,0.03,0.01,1,0.025,443,186,177,ok,98.0,105.0,0.118012011933431,0.10823241796526346,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.02,0.05,0.03,0.01,2,0.035,443,186,182,ok,98.0,105.0,0.8284438494891442,0.7325159554742218,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.03,0.06,0.03,0.01,3,0.045,443,186,184,ok,98.0,105.0,0.9579411920177973,0.94141593683397,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.04,0.07,0.03,0.01,4,0.05500000000000001,443,186,183,ok,98.0,105.0,0.9711564516434101,0.9664174497563836,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.05,0.08,0.03,0.01,5,0.065,443,186,183,ok,98.0,105.0,0.9682311742419529,0.9585647647988441,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.06,0.09,0.03,0.01,6,0.075,443,186,182,ok,98.0,105.0,0.9456593187555442,0.8789823291537027,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISl,0.07,0.1,0.03,0.01,7,0.085,443,186,174,ok,98.0,105.0,0.8749797332946329,0.742726570078089,0.016129032258064516,0.005376344086021506,3.0,186.0,0.0001999600079984003
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.0,0.03,0.03,0.01,0,0.015,433,56,51,ok,108.0,85.0,0.15433296036990465,0.0011002361317045033,0.05357142857142857,0.017857142857142856,3.0,56.0,0.7738452309538092
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.01,0.04,0.03,0.01,1,0.025,433,56,52,ok,108.0,85.0,0.028762792240159114,0.0011022677309068722,0.05357142857142857,0.017857142857142856,3.0,56.0,0.7910417916416717
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.02,0.05,0.03,0.01,2,0.035,433,56,51,ok,108.0,85.0,0.09567077281724556,3.902539693970877e-06,0.05357142857142857,0.017857142857142856,3.0,56.0,0.9840031993601279
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.03,0.06,0.03,0.01,3,0.045,433,56,51,ok,108.0,85.0,0.0885557404349809,0.05374373180757683,0.05357142857142857,0.017857142857142856,3.0,56.0,0.09698060387922415
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.04,0.07,0.03,0.01,4,0.05500000000000001,433,56,48,ok,108.0,85.0,0.11194072768679492,0.03130319142425523,0.05357142857142857,0.017857142857142856,3.0,56.0,0.2509498100379924
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.05,0.08,0.03,0.01,5,0.065,433,56,48,ok,108.0,85.0,0.3653093672120017,0.037133332549797414,0.05357142857142857,0.017857142857142856,3.0,56.0,0.19616076784643072
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.06,0.09,0.03,0.01,6,0.075,433,56,47,ok,108.0,85.0,0.19966663893303735,0.020912496446340925,0.05357142857142857,0.017857142857142856,3.0,56.0,0.1985602879424115
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISl,0.07,0.1,0.03,0.01,7,0.085,433,56,51,ok,108.0,85.0,0.12344250584573004,0.05582575137204402,0.05357142857142857,0.017857142857142856,3.0,56.0,0.0655868826234753
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.0,0.03,0.03,0.01,0,0.015,563,141,134,ok,126.0,123.0,0.9569640899013702,0.9560216861960638,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.01,0.04,0.03,0.01,1,0.025,563,141,136,ok,126.0,123.0,0.9478940884814022,0.9434569452612224,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.02,0.05,0.03,0.01,2,0.035,563,141,140,ok,126.0,123.0,0.9484604750836004,0.9274055605782364,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.03,0.06,0.03,0.01,3,0.045,563,141,139,ok,126.0,123.0,0.9479232439624778,0.9350315872690058,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.04,0.07,0.03,0.01,4,0.05500000000000001,563,141,137,ok,126.0,123.0,0.959784541208762,0.9503466073435619,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.05,0.08,0.03,0.01,5,0.065,563,141,135,ok,126.0,123.0,0.9670308309868245,0.9609682640607256,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.06,0.09,0.03,0.01,6,0.075,563,141,136,ok,126.0,123.0,0.95879319944591,0.9559750411658028,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,VISl,0.07,0.1,0.03,0.01,7,0.085,563,141,135,ok,126.0,123.0,0.9540751001695544,0.9472783887730573,0.02127659574468085,0.0070921985815602835,3.0,141.0,0.0001999600079984003
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,0.0,0.03,0.03,0.01,0,0.015,458,16,15,ok,96.0,102.0,0.702876379594286,0.37099194821220877,0.1875,0.0625,3.0,16.0,0.04839032193561288
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,0.01,0.04,0.03,0.01,1,0.025,458,16,15,ok,96.0,102.0,0.779270842442171,0.445763151379162,0.1875,0.0625,3.0,16.0,0.01199760047990402
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,0.02,0.05,0.03,0.01,2,0.035,458,16,15,ok,96.0,102.0,0.728296500440559,0.6081826129879345,0.1875,0.0625,3.0,16.0,0.003799240151969606
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,0.03,0.06,0.03,0.01,3,0.045,458,16,14,ok,96.0,102.0,0.35482111538340166,0.2934360695707902,0.1875,0.0625,3.0,16.0,0.01279744051189762
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,0.04,0.07,0.03,0.01,4,0.05500000000000001,458,16,14,ok,96.0,102.0,0.4162783191164242,0.29203808923946006,0.1875,0.0625,3.0,16.0,0.04019196160767846
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISl,0.05,0.08,0.03,0.01,5,0.065,458,16,15,ok,96.0,102.0,0.18494929936858234,0.004513764670276131,0.1875,0.0625,3.0,16.0,0.8048390321935612
